Ababekiri,Ababekri
Abdigheni,Abdugheni
Abdijelil,Abdujelil
Abdikirim,Abdukerim
Abdiniyaz,Abduniyaz
Abdirahman,Abdurahman
Abdirehim,Abdurehim
Abdirihim,Abdurehim
Abdirishit,Abdureshit
Abdiriyim,Abdureyim
Abdiryim,Abdureyim
Abdiweli,Abduweli
Abdukirim,Abdukerim
Abduqeyum,Abduqeyyum
Abduqiyum,Abduqeyyum
Abdurihim,Abdurehim
Abdurishit,Abdureshit
Abduriyim,Abdureyim
Abdurshit,Abdureshit
Abdursul,Abdurusul
Abduryim,Abdureyim
Abdushkur,Abdushukur
Abduwili,Abduweli
Abiliz,Abliz
Ablekim,Ablikim
Ablez,Abliz
Ayimsa,Aymisa
Ayinsa,Aynisa
Bekiri,Bekri
Buhelichhan,Buhlichehan
Cholipan,Cholpan
Emzulla,Hemzulla
Eniwer,Enwer
Erken,Erkin
Ershe,Ershi
Ersilan,Arslan
Eslam,Islam
Eyup,Ayup
Ezmet,Ezimet
Ghupur,Ghopur
Ghupurjan,Ghopurjan
Hashem,Hashim
Hebbulla,Hebibulla
Hebibilla,Hebibulla
Hemdilla,Hemdulla
Hewula,Hewulla
Heziret,Hezret
Heztili,Hezreteli
Hibbilla,Hebibulla
Hibibilla,Hebibulla
Hibiblla,Hebibulla
Hibil,Hebil
Hikim,Hekim
Hilimihan,Helimihan
Hisen,Hesen
Hizim,Hezim
Horinsa,Hornisa
Hoshor,Hoshur
Hushur,Hoshur
Hushurhan,Hoshurhan
Hushurjan,Hoshurjan
Hushurqari,Hoshurqari
Husiyin,Huseyin
Husup,Yusup
Husuyun,Huseyin
Hyit,Heyit
Idiris,Idris
Idis,Idris
Ili,Eli
Isa,Eysa
Ismail,Ismayil
Ismayl,Ismayil
Israil,Israyil
Jill,Jelil
Kadir,Qadir
Kbir,Kebir
Kerem,Kerim
Kibir,Kebir
Kirim,Kerim
Kirimjan,Kerimjan
Kuresh,Koresh
Kureshjan,Koreshjan
Luqman,Loqman
Mangsur,Mengsur
Marihan,Merihan
Mayir,Meyir
Mehpilla,Mehpulla
Memetemin,Memetimin
Memetyemin,Memetimin
Memmet,Memet
Memtili,Memeteli
Meridan,Merdan
Meydilla,Meydulla
Mjit,Mijit
Mumin,Momin
Nezamuden,Nizamidin
Nisamet,Nizamet
Nizemidin,Nizamidin
Nuhan,Nurhan
Pazil,Pezil
Pelwan,Palwan
Qembegul,Qembergul
Qeyum,Qeyyum
Rashidin,Reshidin
Remitilla,Remitulla
Remtulla,Remitulla
Rishit,Reshit
Riziwangul,Rizwangul
Rushengul,Roshengul
Ruzaji,Rozaji
Ruze,Rozi
Ruzgul,Rozigul
Ruzhan,Rozihan
Ruzi,Rozi
Ruzigul,Rozigul
Ruzihan,Rozihan
Ruziqari,Roziqari
Sdiq,Sidiq
Sedeq,Sidiq
Sediq,Sidiq
Seydilla,Seydulla
Seyidi,Seydi
Shirip,Sherip
Siyit,Seyit
Tilwaldi,Tiliwaldi
Tudi,Turdi
Tudihan,Turdihan
Tudiqari,Turdiqari
Tughun,Turghun
Tuhti,Tohti
Tumur,Tomur
Tunisa,Turnisa
Tunisahan,Turnisahan
Tuqiz,Turqiz
Tusun,Tursun
Ubul,Obul
Ubulqasim,Obulqasim
Umer,Omer
Umerjan,Omerjan
Usman,Osman
Yemin,Imin
Yemit,Imit
Yesmayil,Ismayil
Yesrail,Israyil
Zibbilla,Zebibulla
Zibi,Zebi
Zibibilla,Zebibulla
Ziyaidn,Ziyadin
Ziyawdun,Ziyawudun
Zurihan,Zorihan
